@id	@type	name	domainIncludes	rangeIncludes	url	isPartOf	owl:cardinality	marginality	sameAs.@id	@type	sameAs.name	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url	sameAs.isPartOf	sameAs.owl:cardinality	sameAs.marginality			
schema:description	schema:Property	description	schema:Thing	schema:Text	https://schema.org/description	schemaOriginObject:1	unspecified	unspecified	dct:description	schema:Property	description	schema:Thing	schema:Text	http://purl.org/dc/terms/description	schemaUsageObject:1	unspecified	minimal or required			
schema:name	schema:Property	name	schema:Thing	schema:Text	https://schema.org/name	schemaOriginObject:1	unspecified	unspecified	dct:title	schema:Property	title	schema:Thing	schema:Text	http://purl.org/dc/terms/title	schemaUsageObject:1	unspecified	minimal or required			
schema:identifier	schema:Property	identifier	schema:Thing	schema:Text	https://schema.org/identifier	schemaOriginObject:1	unspecified	unspecified	dct:identifier	schema:Property	identifier	schema:Thing	schema:Text	http://purl.org/dc/terms/identifier	schemaUsageObject:1	unspecified	unspecified			
schema:url	schema:Property	url	schema:Thing	schema:URL	https://schema.org/url	schemaOriginObject:1	unspecified	unspecified	foaf:homepage	schema:Property	homepage	schema:Thing	schema:URL	https://xmlns.com/foaf/spec/#term_homepage	schemaUsageObject:1	unspecified	unspecified			
schema:keywords	schema:Property	keywords	schema:CreativeWork	schema:Text	https://schema.org/keywords	schemaOriginObject:1	unspecified	unspecified	dct:keyword	schema:Property	keyword	schema:CreativeWork	schema:Text	http://purl.org/dc/terms/keyword	schemaUsageObject:1	unspecified	recommended			
schema:license	schema:Property	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/license	schemaOriginObject:1	unspecified	unspecified	dct:license	schema:Property	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	http://purl.org/dc/terms/license	schemaUsageObject:1	unspecified	unspecified			
schema:creator	schema:Property	creator	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/creator	schemaOriginObject:1	unspecified	unspecified	dct:creator	schema:Property	creator	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/creator	schemaUsageObject:1	unspecified	unspecified			
schema:isPartOf	schema:Property	isPartOf	schema:CreativeWork	schema:CreativeWork	https://schema.org/isPartOf	schemaOriginObject:1	unspecified	unspecified	dct:isPartOf	schema:Property	isPartOf	schema:CreativeWork	schema:CreativeWork	http://purl.org/dc/terms/isPartOf	schemaUsageObject:1	unspecified	recommended			
schema:hasPart	schema:Property	hasPart	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart	schemaOriginObject:1	unspecified	unspecified	dct:hasPart	schema:Property	hasPart	schema:CreativeWork	schema:CreativeWork	http://purl.org/dc/terms/hasPart	schemaUsageObject:1	unspecified	recommended			
schema:version	schema:Property	version	schema:CreativeWork	"schema:Number,schema:Text"	https://schema.org/version	schemaOriginObject:1	unspecified	unspecified	owl:versionInfo	schema:Property	versionInfo	schema:CreativeWork	"schema:Number,schema:Text"	http://www.w3.org/2002/07/owl#versionInfo	schemaUsageObject:1	unspecified	unspecified			
schema:temporalCoverage	schema:Property	temporalCoverage	schema:CreativeWork	schema:Text	https://schema.org/temporalCoverage	schemaOriginObject:1	unspecified	unspecified	dct:temporal	schema:Property	temporal	schema:CreativeWork	schema:Text	http://purl.org/dc/terms/temporal	schemaUsageObject:1	unspecified	unspecified			
schema:spatialCoverage	schema:Property	spatialCoverage	schema:CreativeWork	"schema:Text,schema:Place"	https://schema.org/spatialCoverage	schemaOriginObject:1	unspecified	unspecified	dct:spatial	schema:Property	spatial	schema:CreativeWork	"schema:Text,schema:Place"	http://purl.org/dc/terms/spatial	schemaUsageObject:1	unspecified	unspecified			
schema:distribution	schema:Property	distribution	schema:Dataset	schema:DataDownload	https://schema.org/distribution	schemaOriginObject:1	unspecified	unspecified	dct:distribution	schema:Property	distribution	schema:Dataset	schema:DataDownload	http://purl.org/dc/terms/distribution	schemaUsageObject:1	unspecified	recommended			
schema:contentUrl	schema:Property	distribution.contentUrl	schema:DataDownload	schema:URL	https://schema.org/contentUrl	schemaOriginObject:1	unspecified	unspecified	dcat:accessURL	schema:Property	accessURL	schema:DataDownload	schema:URL	http://www.w3.org/ns/dcat#accessURL	schemaUsageObject:1	unspecified	minimal or required			
schema:contentUrl	schema:Property	distribution.contentUrl	schema:DataDownload	schema:URL	https://schema.org/contentUrl	schemaOriginObject:1	unspecified	unspecified	dcat:downloadURL	schema:Property	downloadURL	schema:DataDownload	schema:URL	http://www.w3.org/ns/dcat#downloadURL	schemaUsageObject:1	unspecified	optional			
schema:encodingFormat	schema:Property	distribution.encodingFormat	schema:DataDownload	"schema:Text,schema:URL"	https://schema.org/encodingFormat	schemaOriginObject:1	unspecified	unspecified	dct:format	schema:Property	format	schema:DataDownload	"schema:Text,schema:URL"	http://purl.org/dc/terms/format	schemaUsageObject:1	unspecified	unspecified			
schema:publisher	schema:Property	publisher	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/publisher	schemaOriginObject:1	unspecified	unspecified	dct:publisher	schema:Property	publisher	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/publisher	schemaUsageObject:1	unspecified	recommended			
schema:contactPoint	schema:Property	contactPoint	schema:Thing	"schema:Telephone,schema:email,schema:Place"	https://schema.org/contactPoint	schemaOriginObject:1	unspecified	unspecified	dct:contactPoint	schema:Property	contactPoint	schema:Thing	"schema:Telephone,schema:email,schema:Place"	http://purl.org/dc/terms/contactPoint	schemaUsageObject:1	unspecified	recommended			
schema:about	schema:Property	about	schema:Thing	"schema:CreativeWork,schema:Event,schema:Communication"	https://schema.org/about	schemaOriginObject:1	unspecified	unspecified	dcat:theme	schema:Property	theme	schema:Thing	"schema:CreativeWork,schema:Event,schema:Communication"	http://www.w3.org/ns/dcat#theme	schemaUsageObject:1	unspecified	recommended			
schema:subjectOf	schema:Property	subjectOf	schema:Thing	"schema:CreativeWork,schema:Event"	https://schema.org/subjectOf	schemaOriginObject:1	unspecified	unspecified	dct:subject	schema:Property	subject	schema:Thing	"schema:CreativeWork,schema:Event"	http://purl.org/dc/terms/subject	schemaUsageObject:1	unspecified	optional			
schema:inLanguage	schema:Property	inLanguage	schema:Thing	"schema:Language,schema:Text"	https://schema.org/inLanguage	schemaOriginObject:1	unspecified	unspecified	dct:language	schema:Property	language	schema:Thing	"schema:Language,schema:Text"	http://purl.org/dc/terms/language	schemaUsageObject:1	unspecified	recommended			
schema:dateCreated	schema:Property	dateCreated	schema:CreativeWork	"schema:Date,schema:DateTime"	https://schema.org/dateCreated	schemaOriginObject:1	unspecified	unspecified	dct:created	schema:Property	created	schema:CreativeWork	"schema:Date,schema:DateTime"	http://purl.org/dc/terms/created	schemaUsageObject:1	unspecified	optional			
schema:datePublished	schema:Property	datePublished	schema:CreativeWork	schema:Date	https://schema.org/datePublished	schemaOriginObject:1	unspecified	unspecified	dct:issued	schema:Property	issued	schema:CreativeWork	schema:Date	http://purl.org/dc/terms/issued	schemaUsageObject:1	unspecified	recommended			
schema:dateModified	schema:Property	dateModified	schema:CreativeWork	"schema:Date,schema:DateTime"	https://schema.org/dateModified	schemaOriginObject:1	unspecified	unspecified	dct:modified	schema:Property	modified	schema:CreativeWork	"schema:Date,schema:DateTime"	http://purl.org/dc/terms/modified	schemaUsageObject:1	unspecified	optional			
schema:copyrightHolder	schema:Property	copyrightHolder	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/copyrightHolder	schemaOriginObject:1	unspecified	unspecified	dct:rightsHolder	schema:Property	rightsHolder	schema:CreativeWork	"schema:Organization,schema:Person"	http://purl.org/dc/terms/rightsHolder	schemaUsageObject:1	unspecified	optional			
schema:mentions	schema:Property	mentions	schema:CreativeWork	schema:Thing	https://schema.org/mentions	schemaOriginObject:1	unspecified	unspecified	dct:relation	schema:Property	relation	schema:CreativeWork	schema:Thing	http://purl.org/dc/terms/relation	schemaUsageObject:1	unspecified	unspecified			
schema:isBasedOn	schema:Property	isBasedOn	schema:CreativeWork	"schema:CreativeWork,schema:Product,schema:URL"	https://schema.org/isBasedOn	schemaOriginObject:1	unspecified	unspecified	dct:source	schema:Property	source	schema:CreativeWork	"schema:CreativeWork,schema:Product,schema:URL"	http://purl.org/dc/terms/source	schemaUsageObject:1	unspecified	optional			
schema:isRelatedTo	schema:Property	isRelatedTo	schema:Thing	"schema:Product,schema:Service"	https://schema.org/isRelatedTo	schemaOriginObject:1	unspecified	unspecified	dct:relation	schema:Property	relation	schema:Thing	"schema:Product,schema:Service"	http://purl.org/dc/terms/relation	schemaUsageObject:1	unspecified	unspecified			
