@id	name	domainIncludes	rangeIncludes	url	isPartOf	owl:cardinality	marginality	sameAs.@id	sameAs.name	sameAs.domainIncludes	sameAs.rangeIncludes	sameAs.url	sameAs.isPartOf	sameAs.owl:cardinality	sameAs.marginality
schema:description	description	schema:Thing	schema:Text	https://schema.org/description	schemaOriginObject:1	unspecified	unspecified	google:description	description	schema:Thing	schema:Text	https://schema.org/description	schemaUsageObjects:17	unspecified	minimal or required
schema:name	name	schema:Thing	schema:Text	https://schema.org/name	schemaOriginObject:1	unspecified	unspecified	google:name	name	schema:Thing	schema:Text	https://schema.org/name	schemaUsageObjects:17	unspecified	minimal or required
schema:identifier	identifier	schema:Thing	schema:Text	https://schema.org/identifier	schemaOriginObject:1	unspecified	unspecified	google:identifier	identifier	schema:Thing	schema:Text	https://schema.org/identifier	schemaUsageObjects:17	unspecified	recommended
schema:alternateName	alternateName	schema:Thing	schema:Text	https://schema.org/alternateName	schemaOriginObject:1	unspecified	unspecified	google:alternateName	alternateName	schema:Thing	schema:Text	https://schema.org/alternateName	schemaUsageObjects:17	unspecified	recommended
schema:sameAs	sameAs	schema:Thing	schema:URL	https://schema.org/sameAs	schemaOriginObject:1	unspecified	unspecified	google:sameAs	sameAs	schema:Thing	schema:URL	https://schema.org/sameAs	schemaUsageObjects:17	unspecified	recommended
schema:url	url	schema:Thing	schema:URL	https://schema.org/url	schemaOriginObject:1	unspecified	unspecified	google:url	url	schema:Thing	schema:URL	https://schema.org/url	schemaUsageObjects:17	unspecified	recommended
schema:citation	citation	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/citation	schemaOriginObject:1	unspecified	unspecified	google:citation	citation	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/citation	schemaUsageObjects:17	unspecified	recommended
schema:keywords	keywords	schema:CreativeWork	schema:Text	https://schema.org/keywords	schemaOriginObject:1	unspecified	unspecified	google:keywords	keywords	schema:CreativeWork	schema:Text	https://schema.org/keywords	schemaUsageObjects:17	unspecified	recommended
schema:license	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/license	schemaOriginObject:1	unspecified	unspecified	google:license	license	schema:CreativeWork	"schema:CreativeWork,schema:URL"	https://schema.org/license	schemaUsageObjects:17	unspecified	recommended
schema:creator	creator	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/creator	schemaOriginObject:1	unspecified	unspecified	google:creator	creator	schema:CreativeWork	"schema:Organization,schema:Person"	https://schema.org/creator	schemaUsageObjects:17	unspecified	recommended
schema:isPartOf	isPartOf	schema:CreativeWork	schema:CreativeWork	https://schema.org/isPartOf	schemaOriginObject:1	unspecified	unspecified	google:isPartOf	isPartOf	schema:CreativeWork	schema:CreativeWork	https://schema.org/isPartOf	schemaUsageObjects:17	unspecified	recommended
schema:hasPart	hasPart	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart	schemaOriginObject:1	unspecified	unspecified	google:hasPart	hasPart	schema:CreativeWork	schema:CreativeWork	https://schema.org/hasPart	schemaUsageObjects:17	unspecified	recommended
